number,value,datetime_start,datetime_complete,duration,params_eps,params_min_samples,params_pca_components,params_scaler,params_use_pca,state
159,0.3141201988626533,2026-06-17 01:58:46.370930,2026-06-17 01:58:46.984286,0 days 00:00:00.613356,0.13474136962707817,17,10.0,MinMaxScaler,True,COMPLETE
160,0.007264883528100189,2026-06-17 01:58:46.984912,2026-06-17 01:58:47.851363,0 days 00:00:00.866451,0.36316538156777356,17,10.0,MinMaxScaler,True,COMPLETE
161,0.36748241750373556,2026-06-17 01:58:47.852378,2026-06-17 01:58:48.454727,0 days 00:00:00.602349,0.13951881336625577,18,10.0,MinMaxScaler,True,COMPLETE
162,0.0,2026-06-17 01:58:48.455177,2026-06-17 01:58:49.008532,0 days 00:00:00.553355,0.05221904453125322,18,10.0,MinMaxScaler,True,COMPLETE
163,0.37147929357995546,2026-06-17 01:58:49.009106,2026-06-17 01:58:49.636630,0 days 00:00:00.627524,0.2640055545417067,19,10.0,MinMaxScaler,True,COMPLETE
164,0.43012585574016027,2026-06-17 01:58:49.637051,2026-06-17 01:58:50.279230,0 days 00:00:00.642179,0.22201171062220043,18,10.0,MinMaxScaler,True,COMPLETE
165,0.5139540664839403,2026-06-17 01:58:50.279643,2026-06-17 01:58:50.832494,0 days 00:00:00.552851,0.15069166175933035,17,10.0,MinMaxScaler,True,COMPLETE
166,0.0,2026-06-17 01:58:50.832996,2026-06-17 01:58:51.393876,0 days 00:00:00.560880,0.05200828013821238,17,10.0,MinMaxScaler,True,COMPLETE
167,0.0,2026-06-17 01:58:51.394377,2026-06-17 01:58:53.845010,0 days 00:00:02.450633,4.96041763826568,16,,MinMaxScaler,False,COMPLETE
168,0.012490472010169638,2026-06-17 01:58:53.845475,2026-06-17 01:58:54.553983,0 days 00:00:00.708508,0.31940246584497717,17,10.0,MinMaxScaler,True,COMPLETE
169,0.4852863368472516,2026-06-17 01:58:54.554439,2026-06-17 01:58:55.159060,0 days 00:00:00.604621,0.14709462617625244,17,10.0,MinMaxScaler,True,COMPLETE
170,0.0,2026-06-17 01:58:55.159590,2026-06-17 01:58:57.391650,0 days 00:00:02.232060,3.4702635401350053,17,10.0,MinMaxScaler,True,COMPLETE
171,0.5817701587138372,2026-06-17 01:58:57.392126,2026-06-17 01:58:57.956011,0 days 00:00:00.563885,0.15968307367473217,16,10.0,MinMaxScaler,True,COMPLETE
172,0.5794842881924445,2026-06-17 01:58:57.956453,2026-06-17 01:58:58.553455,0 days 00:00:00.597002,0.15896838693260024,16,10.0,MinMaxScaler,True,COMPLETE
173,0.3797455038376799,2026-06-17 01:58:58.554149,2026-06-17 01:58:59.176892,0 days 00:00:00.622743,0.13821511142807924,16,10.0,MinMaxScaler,True,COMPLETE
174,0.33526006587634194,2026-06-17 01:58:59.177330,2026-06-17 01:58:59.792593,0 days 00:00:00.615263,0.27630214726673685,16,10.0,MinMaxScaler,True,COMPLETE
175,0.0029084941640626187,2026-06-17 01:58:59.793092,2026-06-17 01:59:00.673614,0 days 00:00:00.880522,0.4219908742576942,16,10.0,MinMaxScaler,True,COMPLETE
176,0.44555173375758705,2026-06-17 01:59:00.674304,2026-06-17 01:59:01.311097,0 days 00:00:00.636793,0.19933904181798706,17,10.0,MinMaxScaler,True,COMPLETE
177,0.011300932218255181,2026-06-17 01:59:01.311524,2026-06-17 01:59:02.099088,0 days 00:00:00.787564,0.3346179859499969,17,10.0,MinMaxScaler,True,COMPLETE
178,0.4249056175239432,2026-06-17 01:59:02.099575,2026-06-17 01:59:02.740859,0 days 00:00:00.641284,0.22712167452859122,18,10.0,MinMaxScaler,True,COMPLETE
179,0.0958903555995672,2026-06-17 01:59:02.741651,2026-06-17 01:59:03.339900,0 days 00:00:00.598249,0.12025104239206474,17,10.0,MinMaxScaler,True,COMPLETE
180,0.0023828467924763364,2026-06-17 01:59:03.340390,2026-06-17 01:59:04.312740,0 days 00:00:00.972350,0.46094287767303244,17,10.0,MinMaxScaler,True,COMPLETE
181,0.0,2026-06-17 01:59:04.313236,2026-06-17 01:59:04.872597,0 days 00:00:00.559361,0.058424127186851235,16,10.0,MinMaxScaler,True,COMPLETE
182,0.4527101301068348,2026-06-17 01:59:04.873019,2026-06-17 01:59:05.490557,0 days 00:00:00.617538,0.20151797878416255,16,10.0,MinMaxScaler,True,COMPLETE
183,0.4272514070960799,2026-06-17 01:59:05.491088,2026-06-17 01:59:06.167462,0 days 00:00:00.676374,0.21795667885811523,15,10.0,MinMaxScaler,True,COMPLETE
184,0.012490472010169638,2026-06-17 01:59:06.168167,2026-06-17 01:59:06.879262,0 days 00:00:00.711095,0.30993007249667126,16,10.0,MinMaxScaler,True,COMPLETE
185,0.4366122370228707,2026-06-17 01:59:06.879731,2026-06-17 01:59:07.517838,0 days 00:00:00.638107,0.17877111147954045,17,10.0,MinMaxScaler,True,COMPLETE
186,0.3711557875058891,2026-06-17 01:59:07.518412,2026-06-17 01:59:07.792064,0 days 00:00:00.273652,0.13746922794831484,4,2.0,StandardScaler,True,COMPLETE
187,0.004244260197950464,2026-06-17 01:59:07.792571,2026-06-17 01:59:08.684658,0 days 00:00:00.892087,0.374493716546344,10,10.0,MinMaxScaler,True,COMPLETE
188,0.0,2026-06-17 01:59:08.685205,2026-06-17 01:59:09.276241,0 days 00:00:00.591036,0.05203175298545629,8,10.0,MinMaxScaler,True,COMPLETE
189,0.374214144907703,2026-06-17 01:59:09.276715,2026-06-17 01:59:09.918725,0 days 00:00:00.642010,0.25190769185010775,17,10.0,MinMaxScaler,True,COMPLETE
190,0.3497904361556961,2026-06-17 01:59:09.919168,2026-06-17 01:59:10.267397,0 days 00:00:00.348229,0.15046086995713465,16,2.0,MinMaxScaler,True,COMPLETE
191,0.4244234080786714,2026-06-17 01:59:10.267833,2026-06-17 01:59:10.915862,0 days 00:00:00.648029,0.20889185036041574,16,10.0,MinMaxScaler,True,COMPLETE
192,0.44257897176167116,2026-06-17 01:59:10.916274,2026-06-17 01:59:11.525773,0 days 00:00:00.609499,0.1407368419914476,15,10.0,MinMaxScaler,True,COMPLETE
193,0.0,2026-06-17 01:59:11.526228,2026-06-17 01:59:12.133898,0 days 00:00:00.607670,0.060046100534166376,15,10.0,MinMaxScaler,True,COMPLETE
194,0.012082305922718176,2026-06-17 01:59:12.134320,2026-06-17 01:59:12.860286,0 days 00:00:00.725966,0.3066683402263798,15,10.0,MinMaxScaler,True,COMPLETE
195,0.4584779657326725,2026-06-17 01:59:12.860744,2026-06-17 01:59:13.465192,0 days 00:00:00.604448,0.14171319597620335,15,10.0,MinMaxScaler,True,COMPLETE
196,0.36543118177618894,2026-06-17 01:59:13.465659,2026-06-17 01:59:14.098892,0 days 00:00:00.633233,0.2595924875075566,15,10.0,MinMaxScaler,True,COMPLETE
197,0.004692596216956859,2026-06-17 01:59:14.099309,2026-06-17 01:59:14.905237,0 days 00:00:00.805928,0.3937263806389927,15,10.0,MinMaxScaler,True,COMPLETE
198,0.3112291682085378,2026-06-17 01:59:14.905698,2026-06-17 01:59:15.709028,0 days 00:00:00.803330,0.13300175824007532,16,,MinMaxScaler,False,COMPLETE
199,0.0,2026-06-17 01:59:15.709490,2026-06-17 01:59:16.278918,0 days 00:00:00.569428,0.05418636614577364,17,10.0,MinMaxScaler,True,COMPLETE
