number,value,datetime_start,datetime_complete,duration,params_max_iters,params_n_clusters,params_pca_components,params_random_state,params_scaler,params_tol,params_use_pca,state
149,0.695597554012276,2026-06-16 23:54:40.929597,2026-06-16 23:54:40.981415,0 days 00:00:00.051818,667,4,,54,MinMaxScaler,0.0008457602994793312,False,COMPLETE
150,0.30459732047955523,2026-06-16 23:54:40.981873,2026-06-16 23:54:41.016712,0 days 00:00:00.034839,601,4,,667,MinMaxScaler,1.4323262566464105e-05,False,COMPLETE
151,0.3046280257197025,2026-06-16 23:54:41.017179,2026-06-16 23:54:41.063545,0 days 00:00:00.046366,101,4,,402,MinMaxScaler,0.0004147222938054741,False,COMPLETE
152,0.6975476573652432,2026-06-16 23:54:41.064085,2026-06-16 23:54:41.117792,0 days 00:00:00.053707,730,4,,725,MinMaxScaler,0.0005117258110528769,False,COMPLETE
153,0.29346605601000375,2026-06-16 23:54:41.118214,2026-06-16 23:54:41.166540,0 days 00:00:00.048326,572,4,,584,MinMaxScaler,0.0006793048045856509,False,COMPLETE
154,0.695597554012276,2026-06-16 23:54:41.167001,2026-06-16 23:54:41.211957,0 days 00:00:00.044956,633,4,,432,MinMaxScaler,0.0006135014785347033,False,COMPLETE
155,0.6946118914923246,2026-06-16 23:54:41.212515,2026-06-16 23:54:41.256710,0 days 00:00:00.044195,525,4,,325,MinMaxScaler,0.001126597098004286,False,COMPLETE
156,0.2942507280286844,2026-06-16 23:54:41.257772,2026-06-16 23:54:41.302931,0 days 00:00:00.045159,937,4,,225,MinMaxScaler,0.0007567260057667148,False,COMPLETE
157,0.6985376096833548,2026-06-16 23:54:41.303670,2026-06-16 23:54:41.347047,0 days 00:00:00.043377,546,4,,563,MinMaxScaler,0.0005460197994760915,False,COMPLETE
158,0.30459732047955523,2026-06-16 23:54:41.347501,2026-06-16 23:54:41.393950,0 days 00:00:00.046449,490,4,,536,MinMaxScaler,0.0009152206870720425,False,COMPLETE
159,0.6975476573652432,2026-06-16 23:54:41.394462,2026-06-16 23:54:41.454131,0 days 00:00:00.059669,555,4,,609,MinMaxScaler,0.0004617586100795974,False,COMPLETE
160,0.29346605601000375,2026-06-16 23:54:41.454586,2026-06-16 23:54:41.493944,0 days 00:00:00.039358,465,4,,588,MinMaxScaler,0.0005842486732645311,False,COMPLETE
161,0.6975476573652432,2026-06-16 23:54:41.494394,2026-06-16 23:54:41.575576,0 days 00:00:00.081182,587,4,,557,MinMaxScaler,0.0005656542412312291,False,COMPLETE
162,0.6975476573652432,2026-06-16 23:54:41.576118,2026-06-16 23:54:41.626514,0 days 00:00:00.050396,532,4,,177,MinMaxScaler,0.0003770364551574246,False,COMPLETE
163,0.695597554012276,2026-06-16 23:54:41.626990,2026-06-16 23:54:41.666801,0 days 00:00:00.039811,510,4,,511,MinMaxScaler,0.0006825327203314911,False,COMPLETE
164,0.695597554012276,2026-06-16 23:54:41.667260,2026-06-16 23:54:41.706256,0 days 00:00:00.038996,609,4,,380,MinMaxScaler,0.0004774800627318491,False,COMPLETE
165,0.6985376096833548,2026-06-16 23:54:41.706718,2026-06-16 23:54:41.764988,0 days 00:00:00.058270,656,4,,569,MinMaxScaler,0.0007942834864124699,False,COMPLETE
166,0.6985376096833548,2026-06-16 23:54:41.765430,2026-06-16 23:54:41.825450,0 days 00:00:00.060020,706,4,,601,MinMaxScaler,0.0008548875812897764,False,COMPLETE
167,0.29230063385841215,2026-06-16 23:54:41.825938,2026-06-16 23:54:41.881520,0 days 00:00:00.055582,702,4,,642,MinMaxScaler,0.0012922900336828872,False,COMPLETE
168,0.29346605601000375,2026-06-16 23:54:41.882017,2026-06-16 23:54:41.947891,0 days 00:00:00.065874,666,4,,689,MinMaxScaler,0.0008318763117813294,False,COMPLETE
169,0.6946118914923246,2026-06-16 23:54:41.948538,2026-06-16 23:54:42.005436,0 days 00:00:00.056898,683,4,,575,MinMaxScaler,0.0010681845699334984,False,COMPLETE
170,0.6791992207714709,2026-06-16 23:54:42.006041,2026-06-16 23:54:42.071103,0 days 00:00:00.065062,147,4,,605,StandardScaler,0.0007488908617314698,False,COMPLETE
171,0.6985376096833548,2026-06-16 23:54:42.071636,2026-06-16 23:54:42.119531,0 days 00:00:00.047895,645,4,,559,MinMaxScaler,0.0009305454125846938,False,COMPLETE
172,0.6926437752407062,2026-06-16 23:54:42.120042,2026-06-16 23:54:42.161916,0 days 00:00:00.041874,649,4,,629,MinMaxScaler,0.0010195305423421246,False,COMPLETE
173,0.6985376096833548,2026-06-16 23:54:42.162418,2026-06-16 23:54:42.231959,0 days 00:00:00.069541,687,4,,548,MinMaxScaler,0.0008659102722961975,False,COMPLETE
174,0.6985376096833548,2026-06-16 23:54:42.233596,2026-06-16 23:54:42.292309,0 days 00:00:00.058713,710,4,,546,MinMaxScaler,0.0008845135571090018,False,COMPLETE
175,0.695597554012276,2026-06-16 23:54:42.292806,2026-06-16 23:54:42.347830,0 days 00:00:00.055024,709,4,,554,MinMaxScaler,0.0009418893091500339,False,COMPLETE
176,0.6935063408899788,2026-06-16 23:54:42.348313,2026-06-16 23:54:42.403237,0 days 00:00:00.054924,728,4,,568,MinMaxScaler,0.0012187078250360012,False,COMPLETE
177,0.6985376096833548,2026-06-16 23:54:42.403787,2026-06-16 23:54:42.462989,0 days 00:00:00.059202,683,4,,531,MinMaxScaler,0.0008583140843351508,False,COMPLETE
178,0.30459732047955523,2026-06-16 23:54:42.463456,2026-06-16 23:54:42.522580,0 days 00:00:00.059124,693,4,,544,MinMaxScaler,0.0008617629052051283,False,COMPLETE
179,0.6975476573652432,2026-06-16 23:54:42.523053,2026-06-16 23:54:42.568067,0 days 00:00:00.045014,744,4,9.0,498,MinMaxScaler,0.0009264658691774422,True,COMPLETE
180,0.6976013044582249,2026-06-16 23:54:42.568577,2026-06-16 23:54:42.608643,0 days 00:00:00.040066,662,4,,563,MinMaxScaler,0.001441478794779808,False,COMPLETE
181,0.3112166477668025,2026-06-16 23:54:42.609095,2026-06-16 23:54:42.651071,0 days 00:00:00.041976,687,4,,528,MinMaxScaler,0.0014429668480577702,False,COMPLETE
182,0.6926437752407062,2026-06-16 23:54:42.652006,2026-06-16 23:54:42.713346,0 days 00:00:00.061340,672,4,,558,MinMaxScaler,0.001189129503599216,False,COMPLETE
183,0.30944626323021984,2026-06-16 23:54:42.713881,2026-06-16 23:54:42.752348,0 days 00:00:00.038467,656,4,,585,MinMaxScaler,0.001048980469089859,False,COMPLETE
184,0.695597554012276,2026-06-16 23:54:42.752898,2026-06-16 23:54:42.810082,0 days 00:00:00.057184,635,4,,538,MinMaxScaler,0.0008066122128892609,False,COMPLETE
185,0.6935063408899788,2026-06-16 23:54:42.810584,2026-06-16 23:54:42.866502,0 days 00:00:00.055918,716,4,,568,MinMaxScaler,0.0015593966458733145,False,COMPLETE
186,0.29230063385841215,2026-06-16 23:54:42.867097,2026-06-16 23:54:42.903776,0 days 00:00:00.036679,768,4,,588,MinMaxScaler,0.0018650789060679531,False,COMPLETE
187,0.25238762215568583,2026-06-16 23:54:42.904250,2026-06-16 23:54:42.965748,0 days 00:00:00.061498,683,4,,508,MinMaxScaler,0.0007253007976140379,False,COMPLETE
188,0.6935063408899788,2026-06-16 23:54:42.966268,2026-06-16 23:54:43.018069,0 days 00:00:00.051801,659,4,,102,MinMaxScaler,0.0009768188096018814,False,COMPLETE
189,0.6935063408899788,2026-06-16 23:54:43.018564,2026-06-16 23:54:43.070460,0 days 00:00:00.051896,623,4,,740,MinMaxScaler,0.0012528862831753845,False,COMPLETE
190,0.695597554012276,2026-06-16 23:54:43.070980,2026-06-16 23:54:43.117506,0 days 00:00:00.046526,699,4,,527,MinMaxScaler,0.0008110396468720828,False,COMPLETE
191,0.695597554012276,2026-06-16 23:54:43.118059,2026-06-16 23:54:43.175833,0 days 00:00:00.057774,660,4,,607,MinMaxScaler,0.0006904137386558329,False,COMPLETE
192,0.6985376096833548,2026-06-16 23:54:43.176350,2026-06-16 23:54:43.238604,0 days 00:00:00.062254,676,4,,555,MinMaxScaler,0.000897740835571874,False,COMPLETE
193,0.6935063408899788,2026-06-16 23:54:43.239122,2026-06-16 23:54:43.299306,0 days 00:00:00.060184,680,4,,555,MinMaxScaler,0.0011000872709104519,False,COMPLETE
194,0.695597554012276,2026-06-16 23:54:43.299810,2026-06-16 23:54:43.348306,0 days 00:00:00.048496,643,4,,567,MinMaxScaler,0.0008887642849804012,False,COMPLETE
195,0.30459732047955523,2026-06-16 23:54:43.348845,2026-06-16 23:54:43.396392,0 days 00:00:00.047547,672,4,,539,MinMaxScaler,0.0007501230006840724,False,COMPLETE
196,0.695597554012276,2026-06-16 23:54:43.396949,2026-06-16 23:54:43.441494,0 days 00:00:00.044545,711,4,,595,MinMaxScaler,0.0009199489142279228,False,COMPLETE
197,0.6939593443241644,2026-06-16 23:54:43.442148,2026-06-16 23:54:43.485239,0 days 00:00:00.043091,627,4,,409,MinMaxScaler,0.0013812441550726258,False,COMPLETE
198,0.695597554012276,2026-06-16 23:54:43.485730,2026-06-16 23:54:43.541362,0 days 00:00:00.055632,739,4,,495,MinMaxScaler,0.0006450148496910212,False,COMPLETE
199,0.6985376096833548,2026-06-16 23:54:43.541915,2026-06-16 23:54:43.604520,0 days 00:00:00.062605,693,4,,516,MinMaxScaler,0.0008223685919741745,False,COMPLETE
